Prime_p,6N_Wing,Mod_24,Root_Number,True_Rank,Rank_Lo,Rank_Hi,Computation_Status
5861,-1,5,-1,1,1,1,certified
5867,-1,11,-1,1,1,1,certified
5869,1,13,1,,0,2,bounded
5879,-1,23,1,0,0,0,certified
5881,1,1,-1,1,1,1,certified
5897,-1,17,-1,1,1,1,certified
5903,-1,23,-1,1,1,1,certified
5923,1,19,-1,1,1,1,certified
5927,-1,23,-1,1,1,1,certified
5939,-1,11,-1,1,1,1,certified
5953,1,1,-1,1,1,1,certified
5981,-1,5,1,2,2,2,certified
5987,-1,11,1,2,2,2,certified
6007,1,7,1,0,0,0,certified
6011,-1,11,-1,3,3,3,certified
6029,-1,5,1,,0,2,bounded
6037,1,13,1,,0,2,bounded
6043,1,19,1,2,2,2,certified
6047,-1,23,-1,1,1,1,certified
6053,-1,5,1,0,0,0,certified
6067,1,19,-1,3,3,3,certified
6073,1,1,1,2,2,2,certified
6079,1,7,1,0,0,0,certified
6089,-1,17,1,0,0,0,certified
6091,1,19,-1,1,1,1,certified
6101,-1,5,1,0,0,0,certified
6113,-1,17,-1,,1,3,bounded
6121,1,1,1,0,0,0,certified
6131,-1,11,1,2,2,2,certified
6133,1,13,-1,1,1,1,certified
6143,-1,23,-1,1,1,1,certified
6151,1,7,1,2,2,2,certified
6163,1,19,-1,1,1,1,certified
6173,-1,5,1,0,0,0,certified
6197,-1,5,1,0,0,0,certified
6199,1,7,-1,3,3,3,certified
6203,-1,11,1,2,2,2,certified
6211,1,19,-1,1,1,1,certified
6217,1,1,1,,0,2,bounded
6221,-1,5,-1,1,1,1,certified
6229,1,13,1,0,0,0,certified
6247,1,7,-1,1,1,1,certified
6257,-1,17,-1,1,1,1,certified
6263,-1,23,-1,1,1,1,certified
6269,-1,5,1,2,2,2,certified
6271,1,7,-1,1,1,1,certified
6277,1,13,-1,1,1,1,certified
6287,-1,23,-1,1,1,1,certified
6299,-1,11,-1,1,1,1,certified
6301,1,13,1,2,2,2,certified
6311,-1,23,1,0,0,0,certified
6317,-1,5,1,2,2,2,certified
6323,-1,11,-1,1,1,1,certified
6329,-1,17,-1,1,1,1,certified
6337,1,1,1,0,0,0,certified
6343,1,7,-1,1,1,1,certified
6353,-1,17,1,2,2,2,certified
6359,-1,23,-1,1,1,1,certified
6361,1,1,1,0,0,0,certified
6367,1,7,1,0,0,0,certified
6373,1,13,1,,0,2,bounded
6379,1,19,-1,1,1,1,certified
6389,-1,5,1,0,0,0,certified
6397,1,13,1,0,0,0,certified
6421,1,13,-1,1,1,1,certified
6427,1,19,-1,1,1,1,certified
6449,-1,17,1,0,0,0,certified
6451,1,19,-1,1,1,1,certified
6469,1,13,1,0,0,0,certified
6473,-1,17,-1,1,1,1,certified
6481,1,1,1,0,0,0,certified
6491,-1,11,1,0,0,0,certified
6521,-1,17,1,,0,2,bounded
6529,1,1,-1,1,1,1,certified
6547,1,19,1,2,2,2,certified
6551,-1,23,-1,3,3,3,certified
6553,1,1,1,2,2,2,certified
6563,-1,11,1,2,2,2,certified
6569,-1,17,1,2,2,2,certified
6571,1,19,-1,1,1,1,certified
6577,1,1,1,2,2,2,certified
6581,-1,5,-1,1,1,1,certified
6599,-1,23,1,2,2,2,certified
6607,1,7,-1,1,1,1,certified
6619,1,19,1,2,2,2,certified
6637,1,13,-1,1,1,1,certified
6653,-1,5,-1,1,1,1,certified
6659,-1,11,-1,1,1,1,certified
6661,1,13,1,0,0,0,certified
6673,1,1,-1,1,1,1,certified
6679,1,7,-1,,1,3,bounded
6689,-1,17,-1,1,1,1,certified
6691,1,19,1,4,4,4,certified
6701,-1,5,1,0,0,0,certified
6703,1,7,-1,1,1,1,certified
6709,1,13,-1,1,1,1,certified
6719,-1,23,-1,1,1,1,certified
6733,1,13,1,0,0,0,certified
6737,-1,17,1,0,0,0,certified
6761,-1,17,-1,1,1,1,certified
6763,1,19,1,0,0,0,certified
6779,-1,11,1,0,0,0,certified
6781,1,13,-1,1,1,1,certified
6791,-1,23,-1,1,1,1,certified
6793,1,1,1,0,0,0,certified
6803,-1,11,-1,1,1,1,certified
6823,1,7,-1,3,3,3,certified
6827,-1,11,-1,1,1,1,certified
6829,1,13,1,2,2,2,certified
6833,-1,17,-1,,1,3,bounded
6841,1,1,1,0,0,0,certified
6857,-1,17,1,0,0,0,certified
6863,-1,23,-1,1,1,1,certified
6869,-1,5,-1,1,1,1,certified
6871,1,7,1,2,2,2,certified
6883,1,19,-1,1,1,1,certified
6899,-1,11,-1,1,1,1,certified
6907,1,19,1,2,2,2,certified
6911,-1,23,-1,3,3,3,certified
6917,-1,5,1,,0,2,bounded
6947,-1,11,-1,1,1,1,certified
6949,1,13,1,0,0,0,certified
6959,-1,23,1,0,0,0,certified
6961,1,1,-1,,1,3,bounded
6967,1,7,-1,3,3,3,certified
6971,-1,11,-1,1,1,1,certified
6977,-1,17,-1,1,1,1,certified
6983,-1,23,-1,1,1,1,certified
6991,1,7,-1,1,1,1,certified
6997,1,13,-1,1,1,1,certified
7001,-1,17,1,0,0,0,certified
7013,-1,5,-1,1,1,1,certified
7019,-1,11,-1,1,1,1,certified
7027,1,19,-1,1,1,1,certified
7039,1,7,-1,1,1,1,certified
7043,-1,11,-1,1,1,1,certified
7057,1,1,1,2,2,2,certified
7069,1,13,-1,1,1,1,certified
7079,-1,23,-1,1,1,1,certified
7103,-1,23,1,0,0,0,certified
7109,-1,5,1,2,2,2,certified
7121,-1,17,-1,1,1,1,certified
7127,-1,23,-1,1,1,1,certified
7129,1,1,1,0,0,0,certified
7151,-1,23,-1,1,1,1,certified
7159,1,7,1,2,2,2,certified
7177,1,1,-1,1,1,1,certified
7187,-1,11,-1,1,1,1,certified
7193,-1,17,-1,1,1,1,certified
7207,1,7,-1,1,1,1,certified
7211,-1,11,1,2,2,2,certified
7213,1,13,-1,1,1,1,certified
7219,1,19,-1,1,1,1,certified
7229,-1,5,-1,1,1,1,certified
7237,1,13,1,0,0,0,certified
7243,1,19,-1,1,1,1,certified
7247,-1,23,1,,0,2,bounded
7253,-1,5,1,0,0,0,certified
7283,-1,11,1,2,2,2,certified
7297,1,1,1,,0,2,bounded
7307,-1,11,-1,1,1,1,certified
7309,1,13,1,0,0,0,certified
7321,1,1,-1,1,1,1,certified
7331,-1,11,-1,1,1,1,certified
7333,1,13,1,,0,2,bounded
7349,-1,5,1,0,0,0,certified
